PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BNZA
Station name, BNZA_KIVU_RW2022
Begin Date, 2022-08-07
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, BNZA.cwu.igs14.pos
Offset from source file, -243.81 mm North, 24.07 mm East, -4.36 mm Vertical
Reference position, -1.8977912034 North Latitude, 29.2972919265 East Longitude, 1709.02926 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-10-16,-2.28, -1.77, -2.41, 3.19, 3.26, 7.35, suppf,
2022-10-17,6.32, 2.62, -9.43, 2.99, 3.11, 7.47, suppf,
2022-10-18,4.21, 1.52, 1.66, 3.03, 3.08, 7.57, suppf,
2022-10-19,4.02, 1.09, -5.87, 3.19, 3.26, 7.98, suppf,
2022-10-20,4.26, 5.88, -10.05, 3.21, 3.26, 7.5, suppf,
2022-10-21,1.38, 5.27, -3.25, 3.18, 3.26, 7.26, suppf,
2022-10-22,4.83, 7.68, -11.54, 3.39, 3.43, 7.54, suppf,
2022-10-23,2.31, 10.33, -21.02, 3.21, 3.28, 7.28, suppf,
2022-10-24,6.97, 8.39, -14.81, 3.08, 3.16, 7.31, suppf,
2022-10-25,6.15, 5.68, -5.12, 3.33, 3.39, 7.32, suppf,
2022-10-26,6.56, 10.60, -4.37, 3.32, 3.36, 7.65, suppf,
2022-10-27,6.78, 12.00, -9.11, 3.2, 3.24, 7.65, suppf,
2022-10-28,1.85, 1.72, -5.15, 3.09, 3.14, 7.44, suppf,
2022-10-29,3.70, 5.61, -8.70, 3.15, 3.2, 7.37, suppf,
2022-10-30,-1.65, 9.25, -10.57, 3.16, 3.23, 7.28, suppf,
2022-10-31,7.59, 4.24, -8.01, 3.14, 3.2, 7.29, suppf,
2022-11-01,5.56, 2.85, 9.99, 2.97, 3.06, 7.43, suppf,
2022-11-02,5.96, 2.62, 0.25, 3.22, 3.29, 7.47, suppf,
2022-11-03,1.60, 8.02, -5.37, 3.34, 3.4, 7.49, suppf,
2022-11-04,7.07, 5.86, -3.53, 3.16, 3.22, 7.28, suppf,
2022-11-05,8.94, 4.78, 0.78, 3.37, 3.43, 7.31, suppf,
2022-11-06,3.72, 8.99, -8.75, 3.12, 3.19, 7.28, suppf,
2022-11-07,6.18, 2.64, -2.45, 3.22, 3.28, 7.29, suppf,
2022-11-08,6.48, 10.58, -1.64, 3.22, 3.28, 7.32, suppf,
2022-11-09,7.48, 8.74, -8.49, 3.18, 3.23, 7.32, suppf,
2022-11-10,7.26, -0.01, -0.36, 3.12, 3.2, 7.33, suppf,
2022-11-11,6.05, 0.03, -5.39, 3.29, 3.34, 7.2, suppf,
2022-11-12,9.13, 6.32, -0.46, 3.04, 3.12, 7.2, suppf,
2022-11-13,5.92, 0.50, -5.67, 3.11, 3.19, 7.37, suppf,
2022-11-14,6.61, 3.97, 2.11, 3.06, 3.14, 7.29, suppf,
2022-11-15,6.68, 0.89, -2.25, 3.25, 3.32, 7.36, suppf,
2022-11-16,4.21, 2.73, 1.85, 3.37, 3.46, 7.5, suppf,
2022-11-17,6.44, 1.26, -0.91, 3.17, 3.27, 7.36, suppf,
2022-11-18,1.99, 6.34, -8.66, 3.28, 3.35, 7.3, suppf,
2022-11-19,6.26, 7.85, -6.07, 3.26, 3.33, 7.33, suppf,
2022-11-20,9.73, 14.62, -8.49, 3.31, 3.38, 7.3, suppf,
2022-11-21,9.19, 15.53, -12.64, 3.19, 3.26, 7.31, suppf,
2022-11-22,11.22, 9.69, -7.01, 3.22, 3.3, 7.29, suppf,
2022-11-23,8.75, 8.95, -6.48, 3.16, 3.23, 7.35, suppf,
2022-11-24,9.41, 6.63, -5.58, 3.12, 3.2, 7.21, suppf,
2022-11-25,11.93, 16.74, -8.76, 3.11, 3.18, 7.41, suppf,
2022-11-26,13.30, 8.03, -2.04, 3.22, 3.3, 7.36, suppf,
2022-11-27,11.91, 6.54, -2.56, 3.12, 3.19, 7.24, suppf,
2022-11-28,14.35, 10.07, -4.21, 3.33, 3.4, 7.45, suppf,
2022-11-29,6.25, 8.04, -7.85, 3.05, 3.12, 7.28, suppf,
2022-11-30,10.82, -4.88, 8.18, 3.3, 3.36, 7.27, suppf,
2022-12-01,5.91, 5.57, -3.90, 3.4, 3.45, 7.43, suppf,
2022-12-02,15.20, 4.12, -2.53, 3.24, 3.29, 7.32, suppf,
2022-12-03,9.36, 0.08, -6.98, 3.27, 3.34, 7.3, suppf,
2022-12-04,7.42, 3.23, -3.66, 3.18, 3.24, 7.31, suppf,
2022-12-05,11.16, 0.81, -8.70, 3.12, 3.19, 7.3, suppf,
2022-12-06,7.86, 6.07, -10.17, 3.12, 3.19, 7.42, suppf,
2022-12-07,13.82, -5.51, -0.82, 3.28, 3.33, 7.44, suppf,
2022-12-08,5.92, 2.93, -4.16, 3.26, 3.34, 7.4, suppf,
2022-12-09,6.83, 0.80, -6.26, 3.14, 3.2, 7.3, suppf,
2022-12-10,11.48, 3.98, -0.47, 3.31, 3.37, 7.25, suppf,
2022-12-11,12.30, 5.79, 1.68, 3.2, 3.26, 7.33, suppf,
2022-12-12,8.68, 10.34, 4.80, 3.24, 3.32, 7.33, suppf,
2022-12-13,6.42, 6.37, -5.09, 3.16, 3.21, 7.38, suppf,
2022-12-14,6.73, 9.67, -2.60, 3.25, 3.31, 7.52, suppf,
2022-12-15,3.88, -1.80, -1.46, 3.21, 3.27, 7.48, suppf,
2022-12-16,1.76, -2.28, -12.74, 3.34, 3.4, 7.4, suppf,
2022-12-17,11.69, 3.45, -4.00, 3.37, 3.42, 7.27, suppf,
2022-12-18,5.03, 4.00, 0.01, 3.4, 3.47, 7.61, suppf,
2022-12-19,4.53, 3.13, -7.41, 3.49, 3.53, 7.32, suppf,
2022-12-20,15.31, 3.05, -6.74, 3.43, 3.49, 7.65, suppf,
2022-12-21,6.70, 1.01, -7.29, 3.5, 3.54, 7.44, suppf,
2022-12-22,8.18, -1.23, 3.44, 3.49, 3.54, 7.39, suppf,
2022-12-23,8.48, 5.12, -1.11, 3.63, 3.67, 7.39, suppf,
2022-12-24,2.03, -2.27, 0.62, 3.75, 3.78, 7.37, suppf,
2022-12-25,10.43, 4.66, -14.67, 3.62, 3.68, 7.36, suppf,
2022-12-26,5.66, 8.96, -5.15, 3.47, 3.52, 7.48, suppf,
2022-12-27,1.20, 7.43, -15.25, 3.63, 3.69, 7.6, suppf,
2022-12-28,7.91, 12.29, -15.94, 3.42, 3.52, 7.81, suppf,
2022-12-29,12.14, 8.15, -6.82, 3.31, 3.37, 7.27, suppf,
2022-12-30,13.18, 8.78, -5.39, 3.36, 3.39, 7.27, suppf,
2022-12-31,0.88, 4.73, -1.72, 3.37, 3.43, 7.46, suppf,
2023-01-01,0.41, -2.42, -5.54, 3.39, 3.46, 7.4, suppf,
2023-01-02,3.99, 1.49, -5.89, 3.27, 3.34, 7.42, suppf,
2023-01-03,2.13, -3.13, 0.12, 3.34, 3.4, 7.44, suppf,
2023-01-04,6.12, 4.00, -11.57, 3.41, 3.47, 7.36, suppf,
2023-01-05,1.94, 2.07, -1.02, 3.33, 3.4, 7.35, suppf,
2023-01-06,3.89, -5.85, 3.57, 3.34, 3.42, 7.44, suppf,
2023-01-07,6.92, 4.61, -7.41, 3.27, 3.35, 7.32, suppf,
2023-01-08,4.58, 3.08, -2.29, 3.29, 3.36, 7.4, suppf,
2023-01-09,5.97, 6.05, 0.17, 3.26, 3.35, 7.61, suppf,
2023-01-10,9.76, 8.44, 0.15, 3.29, 3.36, 7.37, suppf,
2023-01-11,9.12, 8.43, -3.06, 3.33, 3.39, 7.5, suppf,
2023-01-12,17.20, 7.89, -1.31, 3.42, 3.47, 7.37, suppf,
2023-01-13,14.43, 9.41, 6.07, 3.5, 3.56, 7.47, suppf,
2023-01-14,13.39, 10.39, -3.76, 3.28, 3.33, 7.42, suppf,
2023-01-15,9.31, 15.48, -1.44, 3.34, 3.37, 7.35, suppf,
2023-01-16,10.94, 7.71, -4.56, 3.37, 3.42, 7.33, suppf,
2023-01-17,6.16, 10.62, -10.79, 3.31, 3.37, 7.32, suppf,
2023-01-18,8.21, 6.33, 0.98, 3.37, 3.41, 7.42, suppf,
2023-01-19,4.58, 14.24, -2.72, 3.42, 3.49, 7.38, suppf,
2023-01-20,10.40, 4.62, 2.38, 3.34, 3.42, 7.69, suppf,
2023-01-21,2.09, 6.12, -4.78, 3.46, 3.52, 7.67, suppf,
2023-01-22,7.99, 11.00, -18.24, 3.37, 3.41, 7.73, suppf,
2023-01-23,10.04, 10.74, -0.28, 3.43, 3.47, 7.66, suppf,
2023-01-24,7.20, 11.64, -5.16, 3.36, 3.42, 7.44, suppf,
2023-01-25,11.49, 9.03, 4.65, 3.78, 3.84, 7.79, suppf,
2023-01-26,2.94, 9.75, -1.94, 3.57, 3.61, 7.88, suppf,
2023-01-27,4.35, 7.95, -11.60, 3.46, 3.54, 7.8, suppf,
2023-01-28,8.21, 12.59, -8.03, 3.42, 3.49, 7.62, suppf,
2023-01-29,5.53, 12.55, -7.17, 3.4, 3.46, 7.81, suppf,
2023-01-30,6.55, 10.96, -5.31, 3.39, 3.43, 7.67, suppf,
2023-01-31,7.17, 10.64, 1.71, 3.52, 3.55, 7.66, suppf,
2023-02-01,4.52, 14.25, -12.64, 3.48, 3.52, 7.63, suppf,
2023-02-02,1.83, 13.28, -3.45, 3.61, 3.64, 7.79, suppf,
2023-02-03,9.77, 12.53, -9.98, 3.5, 3.54, 7.77, suppf,
2023-02-04,6.74, 7.91, -6.21, 3.45, 3.49, 7.55, suppf,
2023-02-05,9.77, 18.06, -6.15, 3.46, 3.51, 7.6, suppf,
2023-02-06,11.17, 16.06, 1.74, 3.54, 3.56, 7.45, suppf,
2023-02-07,8.29, 13.94, -7.15, 3.46, 3.48, 7.43, suppf,
2023-02-08,4.90, 10.87, -4.29, 3.41, 3.44, 7.52, suppf,
2023-02-09,6.44, 13.17, -10.76, 3.2, 3.24, 7.43, suppf,
2023-02-10,2.35, 11.61, -15.53, 3.5, 3.52, 7.55, suppf,
2023-02-11,7.79, 19.83, -9.37, 3.37, 3.41, 7.43, suppf,
2023-02-12,11.89, 13.17, 1.94, 3.34, 3.38, 7.98, suppf,
2023-02-13,8.45, 19.01, -7.76, 3.46, 3.53, 7.67, suppf,
2023-02-14,3.66, 13.96, -6.80, 3.4, 3.46, 7.51, suppf,
2023-02-15,8.86, 6.22, -7.91, 3.56, 3.56, 7.65, suppf,
2023-02-16,11.75, 9.54, -7.48, 3.39, 3.44, 7.53, suppf,
2023-02-17,14.27, 14.92, 3.86, 3.43, 3.49, 7.88, suppf,
2023-02-18,11.78, 14.74, -1.62, 3.21, 3.24, 7.44, suppf,
2023-02-19,3.74, 8.53, -9.83, 3.34, 3.38, 7.41, suppf,
2023-02-20,7.30, 18.34, -1.36, 3.35, 3.38, 7.76, suppf,
2023-02-21,9.13, 9.68, -5.48, 3.34, 3.38, 7.57, suppf,
2023-02-22,8.00, 15.67, -4.52, 3.18, 3.23, 7.44, suppf,
2023-02-23,-0.07, 10.01, -4.95, 3.48, 3.51, 7.44, suppf,
2023-02-24,6.68, 16.76, 1.89, 3.23, 3.26, 7.73, suppf,
2023-02-25,10.72, 24.45, -12.30, 3.47, 3.49, 7.5, suppf,
2023-02-26,10.14, 12.76, -1.18, 3.52, 3.54, 7.37, suppf,
2023-02-27,14.56, 14.22, -4.95, 3.49, 3.49, 7.44, suppf,
2023-02-28,14.67, 15.33, -3.79, 3.18, 3.21, 7.5, suppf,
2023-03-01,11.70, 12.96, -2.17, 3.11, 3.15, 7.41, suppf,
2023-03-02,15.57, 7.43, -5.47, 3.35, 3.37, 7.51, suppf,
2023-03-03,11.43, 8.39, -6.87, 3.38, 3.4, 7.37, suppf,
2023-03-04,9.25, 10.97, -5.01, 3.31, 3.34, 7.57, suppf,
2023-03-05,7.85, 7.71, -2.70, 3.5, 3.52, 7.63, suppf,
2023-03-06,14.73, 9.98, 3.09, 3.41, 3.45, 7.67, suppf,
2023-03-07,19.22, 17.77, 4.39, 3.36, 3.38, 7.65, suppf,
2023-03-08,14.79, 15.15, -1.00, 3.56, 3.61, 7.84, suppf,
2023-03-09,9.82, -2.00, 9.10, 3.57, 3.6, 7.84, suppf,
2023-03-10,14.54, 11.85, -4.37, 3.36, 3.4, 7.73, suppf,
2023-03-11,12.79, 11.51, -0.75, 3.17, 3.23, 7.89, suppf,
2023-03-12,17.50, 12.91, -6.83, 3.22, 3.26, 7.39, suppf,
2023-03-13,20.31, 15.23, 7.37, 3.34, 3.42, 8.12, suppf,
2023-03-14,17.89, 14.81, 1.52, 3.47, 3.49, 7.56, suppf,
2023-03-15,11.96, 14.64, -2.70, 3.33, 3.34, 7.42, suppf,
2023-03-16,7.10, 9.41, -8.97, 3.09, 3.14, 7.76, suppf,
2023-03-17,13.43, -0.92, -1.54, 3.07, 3.13, 7.54, suppf,
2023-03-18,14.28, 4.29, 1.76, 3.13, 3.18, 7.89, suppf,
2023-03-19,12.92, 12.10, 3.19, 3.27, 3.32, 7.71, suppf,
2023-03-20,7.07, 8.10, 5.36, 3.14, 3.19, 7.41, suppf,
2023-03-21,8.09, 13.14, -3.38, 3.2, 3.24, 7.66, suppf,
2023-03-22,7.65, 13.39, 1.55, 3.18, 3.24, 8.13, suppf,
2023-03-23,6.00, 12.00, -10.24, 3.27, 3.3, 7.51, suppf,
2023-03-24,6.78, 11.18, -15.92, 3.38, 3.42, 7.35, suppf,
2023-03-25,4.38, 6.70, -8.31, 3.34, 3.4, 7.53, suppf,
2023-03-26,6.55, 8.78, -7.68, 3.16, 3.21, 7.93, suppf,
2023-03-27,7.62, 6.47, 4.41, 3.22, 3.29, 7.93, suppf,
2023-03-28,7.56, 8.89, 2.32, 3.04, 3.11, 7.46, suppf,
2023-03-29,12.72, 11.56, 13.12, 3.45, 3.48, 8.12, suppf,
2023-03-30,0.78, 0.93, -4.43, 3.3, 3.28, 7.58, suppf,
2023-03-31,9.22, 10.12, -6.64, 3.41, 3.44, 7.48, suppf,
2023-04-01,10.08, 11.35, -8.01, 3.38, 3.41, 7.36, suppf,
2023-04-02,8.59, 5.31, 2.21, 3.34, 3.39, 7.79, suppf,
2023-04-03,8.57, 8.67, -1.08, 3.19, 3.27, 7.7, suppf,
2023-04-04,7.69, 2.52, 7.09, 3.25, 3.33, 8.27, suppf,
2023-04-05,10.40, 4.83, 3.21, 3.17, 3.25, 8.17, suppf,
2023-04-06,10.79, 9.67, 5.30, 3.4, 3.44, 8.26, suppf,
2023-04-07,13.40, 12.11, 1.28, 3.39, 3.46, 8.42, suppf,
2023-04-08,6.33, 5.46, 9.91, 3.06, 3.14, 8.18, suppf,
2023-04-09,11.64, 8.17, -4.85, 3.05, 3.1, 7.95, suppf,
2023-04-10,5.29, 8.17, -8.81, 3.25, 3.29, 8.2, suppf,
2023-04-11,6.72, 11.74, -4.38, 3.2, 3.27, 8.38, suppf,
2023-04-12,11.96, 13.34, 0.93, 3.29, 3.36, 8.05, suppf,
2023-04-13,10.68, 8.24, 10.72, 3.25, 3.31, 8.54, suppf,
2023-04-14,10.85, 12.58, -3.07, 3.3, 3.34, 8.37, suppf,
2023-04-15,9.10, 7.74, -6.34, 3.15, 3.2, 8.56, suppf,
2023-04-16,10.68, 10.30, -4.27, 3.19, 3.23, 8.06, suppf,
2023-04-17,8.95, 9.04, -8.58, 3.23, 3.34, 7.96, suppf,
2023-04-18,7.48, 14.82, -14.69, 3.18, 3.24, 7.83, suppf,
2023-04-19,7.24, 11.15, -3.24, 3.19, 3.23, 7.47, suppf,
2023-04-20,1.69, 0.04, 2.15, 3.28, 3.34, 8.41, suppf,
2023-04-21,7.66, 3.85, 5.26, 3.19, 3.25, 7.78, suppf,
2023-04-22,9.12, 8.17, -2.07, 3.15, 3.21, 8.23, suppf,
2023-04-23,9.81, 6.33, -8.25, 3.03, 3.08, 7.52, suppf,
2023-04-24,11.14, 11.41, -7.36, 3, 3.03, 7.32, suppf,
2023-04-25,6.96, 5.78, -10.00, 2.99, 3.02, 7.72, suppf,
2023-04-26,11.63, 13.24, -7.81, 3.01, 3.06, 8.02, suppf,
2023-04-27,10.76, 12.74, -3.88, 3.09, 3.13, 7.46, suppf,
2023-04-28,12.25, 3.06, -8.86, 3.01, 3.03, 7.9, suppf,
2023-04-29,10.68, 7.27, -1.85, 3.04, 3.08, 7.6, suppf,
2023-04-30,13.77, 8.74, -12.92, 3.12, 3.15, 8.14, suppf,
2023-05-01,10.37, 11.85, -10.27, 3.04, 3.09, 7.85, suppf,
2023-05-02,5.63, 8.05, -14.44, 3.24, 3.25, 8.21, suppf,
2023-05-03,6.50, 13.39, -20.19, 2.99, 3.05, 7.82, suppf,
2023-05-04,7.86, 12.32, -9.78, 3.01, 3.02, 8.09, suppf,
2023-05-05,6.89, 12.38, -13.10, 3.01, 3.05, 8.09, suppf,
2023-05-06,6.95, 13.82, -1.81, 2.94, 2.98, 7.53, suppf,
2023-05-07,9.30, 7.50, -16.34, 2.96, 3, 7.35, suppf,
2023-05-08,7.72, 4.28, -8.59, 2.99, 3.03, 7.35, suppf,
2023-05-09,-0.31, 6.14, -18.00, 3.28, 3.32, 8.27, suppf,
2023-05-10,3.55, 7.72, -9.89, 3.1, 3.14, 7.88, suppf,
2023-05-11,6.56, 13.36, -2.28, 2.94, 3.02, 7.46, suppf,
2023-05-12,4.00, 6.14, -3.21, 3.02, 3.05, 7.24, suppf,
2023-05-13,5.05, 5.29, -4.44, 3.17, 3.2, 7.92, suppf,
2023-05-14,7.62, 12.59, -16.56, 3.14, 3.17, 7.91, suppf,
2023-05-15,4.77, 10.39, -23.39, 3.13, 3.18, 7.78, suppf,
2023-05-16,8.28, 13.65, 2.65, 3.23, 3.25, 8.2, suppf,
2023-05-17,8.37, 14.74, -5.19, 3.07, 3.13, 8.1, suppf,
2023-05-18,6.65, 14.31, -3.79, 3.11, 3.19, 8.14, suppf,
2023-05-19,7.31, 3.31, -12.06, 3.1, 3.14, 8.03, suppf,
2023-05-20,4.07, 3.33, -6.59, 3.14, 3.14, 7.45, suppf,
2023-05-21,7.10, 8.37, -13.11, 3.09, 3.09, 7.29, suppf,
2023-05-22,7.06, 12.46, -7.76, 2.98, 2.99, 7.27, suppf,
2023-05-23,10.75, 12.25, -7.63, 2.89, 2.96, 7.81, suppf,
2023-05-24,5.69, 14.57, -8.46, 3.12, 3.18, 8.14, suppf,
2023-05-25,5.16, 7.12, -2.21, 3.14, 3.19, 7.49, suppf,
2023-05-26,10.21, 20.51, -1.75, 3.05, 3.09, 7.37, suppf,
2023-05-27,10.72, 21.82, -4.10, 3.03, 3.11, 7.48, suppf,
2023-05-28,9.20, 20.17, -8.41, 3.07, 3.1, 7.39, suppf,
2023-05-29,9.84, 18.55, -3.51, 3.12, 3.19, 8.13, suppf,
2023-05-30,7.89, 21.28, -8.65, 3.12, 3.22, 7.85, suppf,
2023-05-31,7.62, 13.40, -1.06, 3.16, 3.19, 7.26, suppf,
2023-06-01,11.06, 23.33, -4.92, 3.01, 3.05, 7.19, suppf,
2023-06-02,10.63, 24.40, -1.56, 3.13, 3.2, 8.19, suppf,
2023-06-03,9.36, 23.31, -4.84, 3.1, 3.11, 7.5, suppf,
2023-06-04,14.10, 22.55, 0.01, 3.04, 3.07, 7.35, suppf,
2023-06-05,11.63, 14.96, -6.27, 3.03, 3.07, 7.38, suppf,
2023-06-06,13.06, 19.14, -13.48, 3.18, 3.21, 7.84, suppf,
2023-06-07,8.22, 15.20, 3.62, 3.14, 3.18, 7.23, suppf,
2023-06-08,5.82, 21.32, -3.50, 3.14, 3.19, 7.78, suppf,
2023-06-09,7.58, 19.16, -9.17, 3.23, 3.27, 7.88, suppf,
2023-06-10,10.57, 17.00, -0.09, 3.16, 3.21, 7.24, suppf,
2023-06-11,10.58, 20.49, -9.80, 3.14, 3.19, 7.27, suppf,
2023-06-12,10.97, 16.74, 0.95, 3.16, 3.24, 7.52, suppf,
2023-06-13,14.79, 18.71, -4.91, 3.12, 3.17, 7.27, suppf,
2023-06-14,16.01, 28.48, -3.62, 3.31, 3.41, 7.79, suppf,
2023-06-15,7.34, 21.92, -9.87, 3.11, 3.18, 7.36, suppf,
2023-06-16,11.78, 15.90, -2.35, 3.23, 3.26, 7.21, suppf,
2023-06-17,14.20, 23.03, 4.65, 2.98, 3.03, 7.5, suppf,
2023-06-18,14.12, 21.63, -5.82, 3.12, 3.16, 7.37, suppf,
2023-06-19,9.81, 14.87, -0.62, 3.12, 3.18, 7.23, suppf,
2023-06-20,9.34, 15.98, -2.26, 3, 3.04, 7.21, suppf,
2023-06-21,8.77, 16.63, 4.71, 3.12, 3.17, 7.86, suppf,
2023-06-22,9.12, 25.24, -4.32, 3.23, 3.29, 7.78, suppf,
2023-06-23,6.95, 18.57, 5.06, 3.11, 3.17, 7.64, suppf,
2023-06-24,10.77, 21.71, 4.28, 3.06, 3.13, 7.37, suppf,
2023-06-25,12.78, 26.61, -1.86, 3.16, 3.24, 7.41, final,
2023-06-26,15.89, 29.26, -2.27, 3.25, 3.31, 7.36, final,
2023-06-27,14.01, 23.84, -5.66, 3.13, 3.19, 7.32, final,
2023-06-28,13.91, 22.62, -1.07, 3.07, 3.13, 7.33, final,
2023-06-29,10.27, 21.38, -2.22, 3.24, 3.28, 7.42, final,
2023-06-30,11.51, 19.89, -6.74, 3.11, 3.18, 7.45, final,
