PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BYAH
Station name, BYAH_KIVU_RW2022
Begin Date, 2022-08-04
End Date, 2023-09-04
Release Date, 2023-09-23
Source file, BYAH.cwu.igs14.pos
Offset from source file, -241.89 mm North, 28.75 mm East, 0.15 mm Vertical
Reference position, -1.6627052349 North Latitude, 29.2646134412 East Longitude, 1596.26345 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-10-14,8.54, 8.24, 7.01, 3.38, 3.38, 8.92, suppf,
2022-10-15,5.17, 2.24, 5.10, 3.35, 3.45, 9.54, suppf,
2022-10-16,0.96, 3.95, 4.73, 3.34, 3.34, 8.64, suppf,
2022-10-17,11.91, 7.75, -1.18, 3.19, 3.21, 8.77, suppf,
2022-10-18,8.68, 4.96, 6.64, 3.22, 3.18, 8.83, suppf,
2022-10-19,3.51, 3.98, 14.16, 3.4, 3.37, 9.28, suppf,
2022-10-20,6.81, 10.55, 8.70, 3.38, 3.35, 8.83, suppf,
2022-10-21,5.10, 10.60, -0.64, 3.33, 3.33, 8.4, suppf,
2022-10-22,8.67, 13.99, 1.10, 3.54, 3.53, 8.88, suppf,
2022-10-23,4.84, 14.90, 5.54, 3.37, 3.38, 8.64, suppf,
2022-10-24,7.87, 13.46, 0.88, 3.26, 3.31, 9.03, suppf,
2022-10-25,6.86, 10.91, -7.47, 3.49, 3.48, 8.71, suppf,
2022-10-26,9.72, 11.17, 8.57, 3.49, 3.45, 9.03, suppf,
2022-10-27,10.64, 17.25, -9.81, 3.36, 3.34, 8.99, suppf,
2022-10-28,6.10, 9.57, -0.76, 3.25, 3.23, 8.73, suppf,
2022-10-29,6.33, 10.00, 3.67, 3.28, 3.27, 8.41, suppf,
2022-10-30,0.72, 15.49, -1.66, 3.31, 3.34, 8.7, suppf,
2022-10-31,12.91, 10.85, 0.73, 3.28, 3.27, 8.43, suppf,
2022-11-01,8.18, 9.47, 11.18, 3.13, 3.12, 8.57, suppf,
2022-11-02,8.76, 7.11, -4.07, 3.37, 3.38, 8.78, suppf,
2022-11-03,5.63, 9.57, 5.07, 3.49, 3.47, 8.74, suppf,
2022-11-04,9.73, 12.55, 12.99, 3.31, 3.31, 8.44, suppf,
2022-11-05,15.53, 10.26, 12.56, 3.5, 3.51, 8.62, suppf,
