PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, KMBR
Station name, KMBR_KIVU_RW2022
Begin Date, 2022-08-06
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, KMBR.cwu.igs14.pos
Offset from source file, -244.65 mm North, 23.00 mm East, 0.82 mm Vertical
Reference position, -1.8273626406 North Latitude, 29.2925859939 East Longitude, 1471.78216 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-10-15,0.76, -0.59, -0.50, 3.35, 3.51, 10.2, suppf,
2022-10-16,-3.63, -3.42, 3.42, 3.35, 3.48, 9.67, suppf,
2022-10-17,2.76, 0.59, 10.22, 3.16, 3.37, 9.81, suppf,
2022-10-18,4.92, 0.91, 11.35, 3.21, 3.3, 9.63, suppf,
2022-10-19,0.86, 0.33, 1.74, 3.41, 3.59, 10.76, suppf,
2022-10-20,1.85, 3.89, 5.69, 3.37, 3.49, 9.78, suppf,
2022-10-21,-0.57, 4.37, 10.67, 3.34, 3.49, 9.48, suppf,
2022-10-22,3.59, 8.97, 2.83, 3.56, 3.67, 9.99, suppf,
2022-10-23,-2.26, 10.22, -2.82, 3.36, 3.5, 9.5, suppf,
2022-10-24,4.35, 7.09, -6.10, 3.21, 3.4, 9.43, suppf,
2022-10-25,2.42, 5.80, -0.90, 3.47, 3.62, 9.56, suppf,
2022-10-26,4.77, 5.13, 14.90, 3.45, 3.6, 9.99, suppf,
2022-10-27,3.13, 13.82, 3.17, 3.39, 3.5, 10.09, suppf,
2022-10-28,-0.85, 0.23, 17.27, 3.31, 3.4, 10.2, suppf,
2022-10-29,1.65, 4.62, 15.28, 3.34, 3.47, 9.95, suppf,
2022-10-30,-4.83, 7.50, 8.22, 3.33, 3.47, 9.58, suppf,
2022-10-31,5.41, 2.60, 14.56, 3.31, 3.42, 9.56, suppf,
2022-11-01,6.33, -1.97, 22.29, 3.12, 3.29, 9.51, suppf,
2022-11-02,4.96, 0.96, 8.27, 3.42, 3.53, 10.2, suppf,
2022-11-03,0.32, 8.25, -6.83, 3.54, 3.62, 10.03, suppf,
2022-11-04,5.78, 3.39, 14.83, 3.36, 3.45, 9.77, suppf,
