PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, RUBO
Station name, RUBO_KIVU_RW2022
Begin Date, 2022-08-03
End Date, 2023-09-27
Release Date, 2023-09-28
Source file, RUBO.cwu.igs14.pos
Offset from source file, -243.94 mm North, 22.07 mm East, 0.95 mm Vertical
Reference position, -1.7280349874 North Latitude, 29.2559456217 East Longitude, 1464.99799 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-10-13,6.09, -11.17, 7.85, 3.24, 3.53, 8.86, suppf,
2022-10-14,7.96, -1.86, 2.17, 3.25, 3.48, 8.71, suppf,
2022-10-15,5.77, -5.79, 4.47, 3.23, 3.5, 8.96, suppf,
2022-10-16,1.38, -8.09, -2.48, 3.24, 3.45, 8.56, suppf,
2022-10-17,8.73, -3.80, 4.39, 3.06, 3.31, 8.76, suppf,
2022-10-18,7.67, -4.22, 0.71, 3.09, 3.26, 8.67, suppf,
2022-10-19,6.25, -0.81, 9.02, 3.26, 3.52, 9.17, suppf,
2022-10-20,6.08, -0.53, -4.97, 3.28, 3.47, 8.91, suppf,
2022-10-21,4.65, -1.77, -6.36, 3.23, 3.44, 8.39, suppf,
2022-10-22,7.46, 4.46, -6.13, 3.44, 3.64, 8.69, suppf,
2022-10-23,3.51, 5.87, -0.30, 3.26, 3.47, 8.45, suppf,
2022-10-24,9.29, 4.99, -6.11, 3.14, 3.35, 8.47, suppf,
2022-10-25,7.76, 3.11, -4.50, 3.37, 3.58, 8.49, suppf,
2022-10-26,9.27, 3.14, -0.89, 3.37, 3.55, 8.9, suppf,
2022-10-27,9.76, 4.85, -13.33, 3.28, 3.46, 9.16, suppf,
2022-10-28,4.10, -0.94, -2.57, 3.15, 3.35, 8.66, suppf,
2022-10-29,5.96, -1.01, 2.35, 3.2, 3.39, 8.55, suppf,
2022-10-30,2.65, 6.29, -7.43, 3.21, 3.43, 8.48, suppf,
2022-10-31,11.14, 1.57, 3.00, 3.2, 3.4, 8.49, suppf,
2022-11-01,9.35, -4.63, 6.27, 3.03, 3.26, 8.71, suppf,
2022-11-02,8.41, -2.11, 13.95, 3.27, 3.49, 8.71, suppf,
2022-11-03,6.11, 2.84, -2.46, 3.4, 3.57, 8.77, suppf,
2022-11-04,12.51, 0.61, 3.09, 3.23, 3.46, 8.59, suppf,
2022-11-05,13.04, 1.09, -2.75, 3.41, 3.62, 8.53, suppf,
2022-11-06,6.40, 2.66, 0.71, 3.17, 3.38, 8.45, suppf,
2022-11-07,11.32, -2.15, 4.61, 3.27, 3.47, 8.45, suppf,
2022-11-08,6.18, 4.32, -10.27, 3.28, 3.46, 8.58, suppf,
2022-11-09,10.82, 4.43, -3.14, 3.22, 3.42, 8.42, suppf,
2022-11-10,10.17, -2.70, -0.12, 3.19, 3.41, 8.64, suppf,
2022-11-11,6.96, -2.79, -10.57, 3.34, 3.52, 8.34, suppf,
2022-11-12,14.38, -0.31, 6.63, 3.1, 3.31, 8.46, suppf,
2022-11-13,9.86, -2.31, 6.39, 3.16, 3.37, 8.56, suppf,
2022-11-14,7.11, 0.78, 10.07, 3.1, 3.34, 8.44, suppf,
2022-11-15,10.53, -3.20, -6.94, 3.3, 3.51, 8.54, suppf,
2022-11-16,7.71, 3.51, -1.91, 3.42, 3.66, 8.78, suppf,
2022-11-17,7.80, -3.59, 9.89, 3.21, 3.45, 8.47, suppf,
2022-11-18,5.34, 1.41, 2.95, 3.33, 3.51, 8.37, suppf,
2022-11-19,10.20, 7.28, -1.00, 3.31, 3.5, 8.44, suppf,
2022-11-20,10.60, 10.03, -10.32, 3.36, 3.56, 8.44, suppf,
2022-11-21,11.23, 10.96, -9.06, 3.23, 3.43, 8.31, suppf,
2022-11-22,12.65, 9.06, -7.53, 3.27, 3.5, 8.42, suppf,
2022-11-23,12.19, 5.91, -7.51, 3.2, 3.41, 8.42, suppf,
2022-11-24,12.23, 1.95, -4.77, 3.19, 3.38, 8.41, suppf,
2022-11-25,14.22, 13.18, -8.48, 3.17, 3.4, 8.72, suppf,
2022-11-26,16.81, 5.81, -7.90, 3.27, 3.49, 8.48, suppf,
2022-11-27,14.92, 4.63, 2.89, 3.16, 3.37, 8.29, suppf,
2022-11-28,14.02, 6.96, -2.39, 3.37, 3.58, 8.58, suppf,
2022-11-29,7.23, 1.52, -2.98, 3.1, 3.31, 8.45, suppf,
2022-11-30,14.43, -8.57, -3.74, 3.34, 3.52, 8.4, suppf,
2022-12-01,8.19, 7.45, -9.97, 3.43, 3.63, 8.46, suppf,
2022-12-02,16.78, 0.50, -3.77, 3.28, 3.47, 8.45, suppf,
2022-12-03,8.60, -2.25, 0.31, 3.31, 3.51, 8.32, suppf,
2022-12-04,10.11, -1.88, 0.03, 3.23, 3.42, 8.42, suppf,
2022-12-05,16.29, -5.31, 6.66, 3.17, 3.36, 8.42, suppf,
2022-12-06,9.85, 0.31, -7.37, 3.16, 3.36, 8.43, suppf,
2022-12-07,15.65, -9.28, -3.78, 3.32, 3.5, 8.51, suppf,
2022-12-08,7.94, 0.22, -5.65, 3.3, 3.51, 8.47, suppf,
2022-12-09,9.80, -2.48, 2.67, 3.19, 3.38, 8.4, suppf,
2022-12-10,15.85, -0.18, 4.13, 3.35, 3.54, 8.3, suppf,
2022-12-11,16.95, 1.82, -0.64, 3.25, 3.43, 8.44, suppf,
2022-12-12,11.30, 6.79, -5.87, 3.29, 3.5, 8.44, suppf,
2022-12-13,10.43, 5.57, -9.26, 3.21, 3.39, 8.51, suppf,
2022-12-14,8.26, 4.64, -9.40, 3.31, 3.52, 8.73, suppf,
2022-12-15,7.36, -3.24, -4.16, 3.25, 3.45, 8.54, suppf,
2022-12-16,5.82, -9.28, 1.29, 3.38, 3.58, 8.48, suppf,
2022-12-17,13.07, -1.00, -3.96, 3.4, 3.6, 8.31, suppf,
2022-12-18,7.28, -4.37, -5.26, 3.45, 3.65, 8.65, suppf,
2022-12-19,9.03, 0.48, -11.07, 3.52, 3.68, 8.31, suppf,
2022-12-20,14.71, 0.37, 1.18, 3.47, 3.69, 8.75, suppf,
