Date,stat,Date,NumDate,Npos,Epos,Upos,Nerr,Eerr,Uerr,Nmean,Emean,Umean,Nposl,Eposl,Uposl,Nerrl,Eerrl,Uerrl
2022-08-03,RUBO,2022-08-03,52.58590006844627,0.24122,-0.0302,0.00159,0.00258,0.00275,0.00871,0.24057,-0.03088,-0.00548,0.0006499999999999839,0.00068,0.00707,0.0024433198952157455,0.004876240002386265,0.010600087677611296
2022-08-03,KANZ,2022-08-03,52.58590006844627,0.24057,-0.03088,-0.00548,0.00249,0.00249,0.00739,0.24057,-0.03088,-0.00548,0.0,0.0,0.0,0.0035208636108306577,0.005086817801529075,0.004230861897500121
2022-08-04,RUBO,2022-08-04,52.5886379192334,0.23908,-0.03122,0.00605,0.00263,0.00278,0.00906,0.23835,-0.03065,0.000615,0.0007299999999999807,-0.0005700000000000011,0.005435,0.0023970492414150794,0.004874085422922704,0.010894688641320847
2022-08-04,KANZ,2022-08-04,52.5886379192334,0.23781,-0.03057,0.00213,0.00256,0.00252,0.00766,0.23835,-0.03065,0.000615,-0.0005400000000000127,8.000000000000021e-05,0.0015149999999999999,0.0034527655422177256,0.0050578852606634455,0.004392287413265634
2022-08-04,BYAH,2022-08-04,52.5886379192334,0.23889,-0.03073,-0.0009,0.00276,0.00263,0.00897,0.23835,-0.03065,0.000615,0.0005399999999999849,-8.000000000000021e-05,-0.0015149999999999999,0.0021813862991009523,0.0029673192478420433,0.0049635102088631
2022-08-05,IWAW,2022-08-05,52.591375770020534,0.24376,-0.02781,-0.00303,0.00272,0.0027,0.00907,0.246345,-0.026595,0.004285,-0.002585000000000004,-0.0012150000000000008,-0.007315,0.002291802298630558,0.0030302489266109556,0.00625352234045125
2022-08-05,RUBO,2022-08-05,52.591375770020534,0.24728,-0.02822,0.00621,0.00257,0.00275,0.00841,0.246345,-0.026595,0.004285,0.0009349999999999914,-0.001624999999999998,0.0019250000000000005,0.0024525915924333546,0.004876240002386265,0.010350318977152733
2022-08-05,KANZ,2022-08-05,52.591375770020534,0.24693,-0.02661,0.00343,0.00251,0.00251,0.00718,0.246345,-0.026595,0.004285,0.0005850000000000022,-1.5000000000001124e-05,-0.0008549999999999999,0.003501399365343796,0.005067528061623541,0.004113189588066001
2022-08-05,BYAH,2022-08-05,52.591375770020534,0.24576,-0.02658,0.00514,0.00267,0.00262,0.00833,0.246345,-0.026595,0.004285,-0.0005850000000000022,1.5000000000001124e-05,0.0008549999999999999,0.0022686684253821906,0.0029772425873328284,0.00445104865858086
2022-08-06,KMBR,2022-08-06,52.59411362080767,0.2435,-0.02949,0.00148,0.00271,0.00283,0.0091,0.2447725,-0.0290225,0.0015975,-0.0012725000000000097,-0.00046749999999999917,-0.00011749999999999998,0.0022464532621585247,0.002742252832516631,0.005751570929750823
2022-08-06,RUBO,2022-08-06,52.59411362080767,0.24557,-0.02872,-0.00893,0.00262,0.00279,0.00826,0.2447725,-0.0290225,0.0015975,0.0007975000000000065,0.0003025000000000007,-0.0105275,0.002406291435941686,0.004873408057301666,0.010226447330656358
2022-08-06,IWAW,2022-08-06,52.59411362080767,0.24623,-0.02917,0.00568,0.0028,0.00275,0.00915,0.2447725,-0.0290225,0.0015975,0.0014575000000000005,-0.0001475000000000018,0.0040825,0.00221516886114254,0.002981350149227307,0.006314706992502524
2022-08-06,NYBA,2022-08-06,52.59411362080767,0.24338,-0.02937,0.00148,0.00256,0.00264,0.00733,0.2447725,-0.0290225,0.0015975,-0.001392499999999991,-0.0003475000000000006,-0.00011749999999999998,0.0027687855037157303,0.0037504565504899844,0.00334338288537798
2022-08-06,BYAH,2022-08-06,52.59411362080767,0.24544,-0.0276,-0.00143,0.00274,0.00265,0.00831,0.2447725,-0.0290225,0.0015975,0.0006674999999999875,0.0014225000000000002,-0.0030275,0.002200763406688931,0.0029474741234122932,0.004435568219381921
2022-08-06,KANZ,2022-08-06,52.59411362080767,0.24677,-0.02963,0.00486,0.00256,0.00256,0.00716,0.2447725,-0.0290225,0.0015975,0.0019974999999999854,-0.0006075000000000004,0.0032624999999999998,0.0034527655422177256,0.005019328035585484,0.004102367334659911
2022-08-07,BNZA,2022-08-07,52.596851471594796,0.24435,-0.02259,0.00374,0.00247,0.00249,0.0071,0.24286400000000002,-0.022224,0.010154,0.0014859999999999873,-0.00036599999999999827,-0.0064139999999999996,0.00261677241645938,0.0036447972704878604,0.0034854219728782778
2022-08-07,IWAW,2022-08-07,52.596851471594796,0.2434,-0.02036,-0.00811,0.00268,0.00274,0.00944,0.24286400000000002,-0.022224,0.010154,0.0005359999999999809,0.001864000000000001,-0.018264,0.0023302038799909103,0.002991126991834937,0.006539907249244501
2022-08-07,RUBO,2022-08-07,52.596851471594796,0.24459,-0.02111,0.00989,0.00254,0.00271,0.00819,0.24286400000000002,-0.022224,0.010154,0.0017259999999999776,0.0011140000000000004,-0.00026400000000000035,0.002480440635457311,0.004879398224040666,0.010168881386024365
2022-08-07,KANZ,2022-08-07,52.596851471594796,0.246,-0.02167,-0.0038,0.00247,0.0025,0.00722,0.24286400000000002,-0.022224,0.010154,0.003135999999999972,0.0005540000000000024,-0.013954,0.00354033382839995,0.005077172244532145,0.004135039330545033
2022-08-07,NYBA,2022-08-07,52.596851471594796,0.24176,-0.02243,0.00714,0.00248,0.00257,0.0074,0.24286400000000002,-0.022224,0.010154,-0.0011040000000000216,-0.00020599999999999785,-0.003014,0.0028481182328440728,0.003820198516927337,0.0033911235999318293
2022-08-07,KMBR,2022-08-07,52.596851471594796,0.24004,-0.02276,0.02958,0.00259,0.00276,0.00885,0.24286400000000002,-0.022224,0.010154,-0.002824000000000021,-0.0005359999999999983,0.019426,0.0023625735991715893,0.0028113054032475942,0.005560381078393137
2022-08-07,BYAH,2022-08-07,52.596851471594796,0.24217,-0.02167,0.01411,0.00264,0.00258,0.00827,0.24286400000000002,-0.022224,0.010154,-0.0006940000000000279,0.0005540000000000024,0.0039559999999999994,0.00229780906600172,0.003016941007823303,0.004404716558901811
2022-08-08,KANZ,2022-08-08,52.59958932238193,0.24087,-0.02827,0.00168,0.00243,0.00246,0.0072,0.23855400000000002,-0.029424,0.004574,0.0023159999999999847,0.0011539999999999988,-0.002894,0.0035792917899210375,0.005115762639320716,0.004124080434019736
2022-08-08,KMBR,2022-08-08,52.59958932238193,0.23841,-0.03189,0.01358,0.00257,0.00278,0.00898,0.23855400000000002,-0.029424,0.004574,-0.00014400000000000523,-0.002466000000000003,0.009006,0.0023819643791576565,0.0027915712817217823,0.005659227646677031
2022-08-08,BNZA,2022-08-08,52.59958932238193,0.23854,-0.02731,-0.00443,0.00244,0.00248,0.00722,0.23855400000000002,-0.029424,0.004574,-1.4000000000014001e-05,0.002113999999999998,-0.009004,0.0026459928563288926,0.0036546902588675645,0.003556720394819753
2022-08-08,RUBO,2022-08-08,52.59958932238193,0.24191,-0.02705,0.00899,0.00251,0.00274,0.00836,0.23855400000000002,-0.029424,0.004574,0.00335599999999997,0.0023739999999999976,0.004416,0.002508339285818598,0.004876998993012692,0.010308951302376404
2022-08-08,BYAH,2022-08-08,52.59958932238193,0.2376,-0.02962,0.01277,0.00264,0.0026,0.00858,0.23855400000000002,-0.029424,0.004574,-0.0009540000000000104,-0.00019600000000000173,0.008196,0.00229780906600172,0.0029970907951306844,0.0046474663327827235
2022-08-08,IWAW,2022-08-08,52.59958932238193,0.23856,-0.02772,-0.00013,0.00269,0.00269,0.00957,0.23855400000000002,-0.029424,0.004574,5.999999999978245e-06,0.0017039999999999972,-0.004704,0.0023205984219044876,0.0030400329811060747,0.0066424907812511515
2022-08-08,NYBA,2022-08-08,52.59958932238193,0.23735,-0.03003,-0.00073,0.00245,0.00256,0.0075,0.23855400000000002,-0.029424,0.004574,-0.0012040000000000106,-0.0006060000000000024,-0.005304,0.0028778775307092244,0.003830162423500328,0.003460638595236114
2022-08-09,KMBR,2022-08-09,52.602327173169066,0.24022,-0.03285,0.00115,0.00266,0.00277,0.00911,0.24162599999999998,-0.03301,0.003122,-0.0014059999999999906,0.00016000000000000042,-0.0019720000000000002,0.002294788223180079,0.0028014378710996698,0.005759312231236891
2022-08-09,BNZA,2022-08-09,52.602327173169066,0.24248,-0.03278,0.00206,0.00248,0.00251,0.00716,0.24162599999999998,-0.03301,0.003122,0.0008540000000000214,0.00023000000000000104,-0.001062,0.0026070362049926293,0.00362501305547226,0.0035207404260999904
