PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, KANZ
Station name, kanz_KIVU_RW2022
Begin Date, 2022-08-03
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, KANZ.cwu.igs14.pos
Offset from source file, -243.29 mm North, 22.75 mm East, 8.01 mm Vertical
Reference position, -1.6463465815 North Latitude, 29.3781144963 East Longitude, 2299.33814 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-10-13,5.34, -5.56, 8.40, 3.2, 3.32, 7.63, suppf,
2022-10-14,5.69, 4.31, 9.07, 3.2, 3.29, 7.57, suppf,
2022-10-15,6.36, -1.38, -0.61, 3.16, 3.27, 7.77, suppf,
2022-10-16,0.65, 0.12, 4.40, 3.18, 3.26, 7.38, suppf,
2022-10-17,7.95, 3.27, 4.53, 2.99, 3.09, 7.48, suppf,
2022-10-18,7.30, 2.86, -0.22, 3.03, 3.08, 7.61, suppf,
2022-10-19,4.64, 1.51, 12.26, 3.2, 3.27, 8.02, suppf,
2022-10-20,4.30, 5.70, 1.02, 3.21, 3.27, 7.51, suppf,
2022-10-21,3.80, 3.14, 3.78, 3.19, 3.25, 7.28, suppf,
2022-10-22,4.32, 8.94, 2.88, 3.39, 3.44, 7.54, suppf,
2022-10-23,2.42, 9.36, 0.24, 3.21, 3.28, 7.33, suppf,
2022-10-24,7.29, 8.85, -4.08, 3.07, 3.17, 7.36, suppf,
2022-10-25,6.12, 5.25, -1.87, 3.32, 3.39, 7.31, suppf,
2022-10-26,10.06, 6.30, 5.51, 3.32, 3.37, 7.72, suppf,
2022-10-27,8.97, 10.67, -3.26, 3.2, 3.25, 7.71, suppf,
2022-10-28,2.37, 2.29, -4.50, 3.09, 3.15, 7.49, suppf,
2022-10-29,6.49, 6.62, 2.09, 3.14, 3.2, 7.29, suppf,
2022-10-30,0.27, 9.23, 5.42, 3.16, 3.23, 7.3, suppf,
2022-10-31,9.71, 4.67, 13.31, 3.15, 3.21, 7.38, suppf,
2022-11-01,7.93, 0.72, 10.38, 2.97, 3.05, 7.39, suppf,
2022-11-02,6.57, 3.53, 12.03, 3.22, 3.3, 7.48, suppf,
2022-11-03,3.39, 7.45, 2.66, 3.33, 3.39, 7.44, suppf,
2022-11-04,10.49, 4.79, 8.69, 3.17, 3.22, 7.3, suppf,
2022-11-05,10.78, 4.22, 11.92, 3.36, 3.42, 7.3, suppf,
2022-11-06,4.96, 7.19, -0.15, 3.11, 3.18, 7.21, suppf,
