PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, IWAW
Station name, IWAW_KIVU_RW2022
Begin Date, 2022-08-05
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, IWAW.cwu.igs14.pos
Offset from source file, -242.43 mm North, 23.82 mm East, 5.38 mm Vertical
Reference position, -1.9346042759 North Latitude, 29.1472485385 East Longitude, 1517.43602 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-10-15,7.72, -5.82, 8.53, 3.32, 3.46, 9.62, suppf,
2022-10-16,2.01, -7.85, 8.44, 3.37, 3.45, 9.7, suppf,
2022-10-17,10.14, -0.66, 11.61, 3.16, 3.28, 9.46, suppf,
2022-10-18,7.37, -0.05, 2.15, 3.24, 3.31, 10.11, suppf,
2022-10-19,6.52, -2.85, 3.25, 3.42, 3.49, 10.21, suppf,
2022-10-20,9.02, 1.15, 12.79, 3.39, 3.43, 9.54, suppf,
2022-10-21,6.56, -0.43, 11.48, 3.31, 3.41, 9.06, suppf,
2022-10-22,8.76, 3.64, 2.08, 3.52, 3.57, 9.24, suppf,
2022-10-23,5.01, 6.22, -2.40, 3.36, 3.44, 9.14, suppf,
2022-10-24,9.70, 5.47, -0.79, 3.2, 3.33, 9.13, suppf,
2022-10-25,7.65, -1.26, 8.89, 3.43, 3.57, 9.05, suppf,
2022-10-26,10.88, 4.81, 18.97, 3.48, 3.53, 9.77, suppf,
2022-10-27,9.03, 7.11, 1.03, 3.35, 3.47, 9.89, suppf,
2022-10-28,4.62, -0.21, 5.14, 3.24, 3.3, 9.29, suppf,
2022-10-29,7.14, 0.78, 5.37, 3.31, 3.41, 9.61, suppf,
2022-10-30,3.71, 3.76, 10.94, 3.3, 3.38, 9.08, suppf,
2022-10-31,11.38, 0.75, 5.68, 3.29, 3.34, 9.13, suppf,
2022-11-01,12.27, -2.24, 31.74, 3.14, 3.22, 9.52, suppf,
2022-11-02,8.49, -0.09, 3.26, 3.38, 3.48, 9.65, suppf,
2022-11-03,9.71, 2.23, 17.23, 3.48, 3.58, 9.59, suppf,
2022-11-04,13.29, -1.37, 19.14, 3.33, 3.39, 9.31, suppf,
2022-11-05,13.68, -0.50, 18.76, 3.51, 3.6, 9.46, suppf,
2022-11-06,8.67, 2.84, 5.88, 3.28, 3.34, 9.18, suppf,
2022-11-07,11.74, -1.15, 13.02, 3.41, 3.46, 9.54, suppf,
2022-11-08,9.24, 6.42, 1.31, 3.39, 3.44, 9.41, suppf,
2022-11-09,9.50, 5.45, 18.81, 3.35, 3.41, 9.45, suppf,
2022-11-10,12.15, -3.38, 8.11, 3.32, 3.39, 9.7, suppf,
2022-11-11,9.97, -4.71, -1.20, 3.42, 3.49, 8.89, suppf,
2022-11-12,14.77, 5.53, 8.73, 3.23, 3.31, 9.23, suppf,
2022-11-13,8.09, -2.52, 1.26, 3.26, 3.34, 9.18, suppf,
2022-11-14,8.69, 1.71, 16.45, 3.22, 3.3, 9.24, suppf,
2022-11-15,10.01, -3.43, 4.64, 3.43, 3.5, 9.75, suppf,
2022-11-16,7.36, 0.15, 5.38, 3.49, 3.57, 9.27, suppf,
2022-11-17,7.96, -3.48, 12.46, 3.32, 3.42, 9.38, suppf,
2022-11-18,6.37, 0.16, 7.46, 3.45, 3.5, 9.45, suppf,
2022-11-19,8.82, 5.85, 7.59, 3.43, 3.5, 9.39, suppf,
2022-11-20,11.96, 7.26, 7.04, 3.46, 3.51, 9.15, suppf,
2022-11-21,12.24, 12.10, -6.29, 3.36, 3.49, 9.82, suppf,
2022-11-22,15.57, 6.11, -5.06, 3.39, 3.45, 9.3, suppf,
2022-11-23,13.44, 3.55, 6.23, 3.31, 3.39, 9.29, suppf,
