> -L"kivu_presumed_faults_right"
29.0308459418	-1.87597151487
29.0363844377	-1.87280835345
> -L"221ft"
28.9913417718	-2.02966019403
28.9968802677	-2.02164004135
28.9988017867	-2.02005859811
29.001853611	-2.01971971721
29.0034360384	-2.01497537728
29.0036620995	-2.0129420845
29.0027578552	-2.01045694544
28.999932092	-2.00435704262
28.9989148172	-2.00175892896
28.997784512	-1.99746638433
28.9981236035	-1.99419048745
29.0001581531	-1.99249605548
29.0051314964	-1.99001088542
29.0088615038	-1.98820348667
29.0116872671	-1.98684793631
29.0122524197	-1.98289424139
29.0120263587	-1.97735905264
29.0106699923	-1.97408311591
29.0097657481	-1.96956457189
29.0098787786	-1.96764418697
29.0127045418	-1.96538490776
29.0165475798	-1.96210894748
29.0209557705	-1.95657368968
29.0244597169	-1.95341067701
29.0259291138	-1.94911800744
29.0275115412	-1.94561608468
29.0286418465	-1.94267898257
29.0297721518	-1.9387251832
29.0307894265	-1.93533620496
29.0329370066	-1.93375467946
29.0350845867	-1.93059162405
29.0374582278	-1.92528219637
29.0390406552	-1.9195208838
29.0408491437	-1.91217800632
29.0418664184	-1.90562587372
29.0419229337	-1.90088121042
29.0422620253	-1.89681434577
29.0416968726	-1.89031863937
29.040283991	-1.88450072517
29.0389276247	-1.88026436765
29.0379668652	-1.87744012358
> -L"108ft"
29.0049619506	-2.22331748938
29.0121959044	-2.20942513486
29.0194298583	-2.20118001741
29.0284723007	-2.19316074985
29.0374017125	-2.18615797399
29.0441835443	-2.18084939633
29.0520956813	-2.17407246146
29.0585384215	-2.16842499248
29.0639638869	-2.16401995205
> -L"108ft"
29.2440780355	-2.1146035634
29.2427216691	-2.09924180365
29.2414783333	-2.08986653779
29.240121967	-2.07631183763
29.238200448	-2.0694214871
29.2376352953	-2.06558095085
> -L"108ft"
29.1550947512	-1.96504601562
29.1479738279	-1.95905890973
29.1413050266	-1.95228102819
29.1365577444	-1.94561608468
29.1322625843	-1.93782145633
29.1257068136	-1.92878416117
29.1198292261	-1.92234505906
29.1127083027	-1.91409845424
29.10999557	-1.91059645936
29.1071698068	-1.90404432074
29.1057004099	-1.89568465945
29.1054743488	-1.88687308088
29.1063785931	-1.88167648797
29.1067176847	-1.87297780867
29.1060395015	-1.8648439396
29.1043440435	-1.85558032071
29.1032137382	-1.85309495128
> -L"186ft"
29.3112746852	-1.61770402306
29.3110486242	-1.61047293948
29.3119528684	-1.60053015768
29.3146656011	-1.59137823636
29.3168131812	-1.58606784363
29.3204301581	-1.58267822412
29.3241601656	-1.57906262387
29.3256295625	-1.57488207824
29.3247253182	-1.57081451228
29.3252904709	-1.56878072632
29.3285683562	-1.56832877362
29.3306029057	-1.56606900865
29.3313941195	-1.563244299
29.3316201805	-1.55815981207
29.3325244247	-1.55364025783
29.3354632185	-1.54934667234
29.3384020123	-1.54426215195
29.3395323176	-1.54098545459
29.3396453481	-1.53590091422
29.339419287	-1.52505385438
29.3400974702	-1.51951731316
29.3410017144	-1.51251187332
29.3425841419	-1.5107040142
> -L"301ft"
29.2664298227	-1.66549631258
29.2728725629	-1.65600573634
29.2769416619	-1.64866180685
29.2801065167	-1.64301261188
29.2838365242	-1.63770235403
29.2877925927	-1.63194014344
29.2883577454	-1.62821164542
29.2885838064	-1.62538702112
29.2912965391	-1.621658511
> -L"498ft"
29.3566281851	-1.98453220186
29.3576454599	-1.97605997506
29.3584366736	-1.96668399368
29.3593409178	-1.96193950109
29.3618275895	-1.95470977222
29.3640882001	-1.94973931556
29.3670269938	-1.94352622409
29.3681572991	-1.93640938214
29.3681572991	-1.92793691228
29.367479116	-1.91980330154
29.3682703297	-1.90907139484
29.3692876044	-1.9016155044
29.3698527571	-1.89495036295
29.3707570013	-1.88523502609
29.3709265471	-1.87455938994
29.3695701808	-1.86693389566
29.368552906	-1.8611159037
29.366631387	-1.85433763643
29.3658966885	-1.85224766545
> -L"101ft"
29.2855319822	-1.97289699929
29.2882447149	-1.96193950109
29.2923138139	-1.95312826488
29.2952526077	-1.94668925533
29.2970610961	-1.93787793928
29.2981914014	-1.93076107359
29.2993217067	-1.92330527758
29.3001129204	-1.91449384031
29.3016953479	-1.90172847268
29.30429505	-1.89077051538
29.3068947522	-1.88354048503
29.3071208133	-1.87450290492
29.3072338438	-1.86727280722
29.309833546	-1.85913891177
29.3124332481	-1.85303846557
29.3137896145	-1.84750285731
29.3148068893	-1.83710942382
29.3154850724	-1.82456943991
29.3152590114	-1.81304613435
> -L"551ft"
29.3210235684	-1.9303092081
29.3214756905	-1.91799582722
29.3221538737	-1.9113307492
29.3243014537	-1.90443970912
29.3263360033	-1.89800051562
29.3283705528	-1.89574114379
> -L"551ft"
29.3295008581	-2.10833462828
29.3151459809	-2.08348454766
29.3116420344	-2.077723791
29.309833546	-2.07196301332
29.3082511186	-2.05919886273
29.3055383859	-2.04564390062
29.3057644469	-2.03378321479
29.3063295996	-2.016048503
29.3037298974	-2.00192837128
29.302373531	-1.99198772554
29.3013562563	-1.98317664848
29.3029386837	-1.97380070727
29.306216569	-1.9663451018
29.307912027	-1.96171357253
29.3107377902	-1.95561349003
29.3148068893	-1.94748001222
29.3191020494	-1.93968539247
29.3223799347	-1.93302039927
29.3241884232	-1.9299703089
> -L"240ft"
29.3781039857	-2.19643623053
29.3776518636	-2.1782515749
29.3779909552	-2.15046590132
29.3788951994	-2.13465269002
29.3787821689	-2.10889939825
29.3799124742	-2.10167032722
29.3816079321	-2.09500599771
29.3856770312	-2.08484001676
29.3883897639	-2.0771590098
29.3885027944	-2.06823544013
29.3870333975	-2.06044139517
29.3860161228	-2.05603604852
29.3853379396	-2.04903265192
29.3868073365	-2.04327177045
29.3879376418	-2.03751086833
29.3872594586	-2.03141106714
29.3846597564	-2.02700564085
29.3812688405	-2.02339092314
> -L"240ft"
29.1491041332	-2.30791116957
29.1500083774	-2.29311610418
29.1512517132	-2.27640088447
29.1523820185	-2.26284786125
29.1533992933	-2.24850410705
29.1557729344	-2.23709676876
29.1581465755	-2.22772235501
29.1604071861	-2.21959028512
29.1619896135	-2.21354767642
29.1632894646	-2.20479432109
29.1642502241	-2.19756570497
