PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, IWAW
Station name, IWAW_KIVU_RW2022
Begin Date, 2022-08-05
End Date, 2022-10-31
Release Date, 2022-11-01
Source file, IWAW.cwu.nam14.pos
Offset from source file, 2.39 mm North, 0.51 mm East, 4.21 mm Vertical
Reference position, -1.9346042759 North Latitude, 29.1472485385 East Longitude, 1517.43602 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-10-18,-0.78, 8.99, -8.74, 2.39, 2.4, 10.16, rapid,
2022-10-19,2.68, 5.95, -4.98, 2.51, 2.59, 10.72, rapid,
2022-10-20,2.39, -0.26, 11.30, 2.38, 2.42, 10.12, rapid,
2022-10-21,2.52, 3.07, 13.02, 2.32, 2.44, 9.99, rapid,
2022-10-22,-2.57, 4.37, -3.12, 2.2, 2.34, 9.39, rapid,
2022-10-23,-2.63, 6.16, -4.66, 2.16, 2.32, 9.24, rapid,
2022-10-24,2.79, 4.91, -8.25, 2.14, 2.34, 9.41, rapid,
2022-10-25,3.21, 1.07, 3.71, 2.09, 2.33, 8.91, rapid,
2022-10-26,4.41, 4.62, 7.36, 2.15, 2.3, 9.15, rapid,
2022-10-27,3.08, 6.28, 1.18, 2.12, 2.37, 9.34, rapid,
2022-10-28,8.03, 8.52, 6.52, 2.14, 2.3, 8.85, rapid,
2022-10-29,2.51, 2.71, 5.39, 2.17, 2.39, 9.51, rapid,
2022-10-30,3.96, 6.57, 15.01, 2.11, 2.27, 8.81, rapid,
2022-10-31,3.02, 3.24, 6.08, 2.17, 2.31, 9.21, rapid,
