# dataset: GeoCSV 2.0
# field_unit: ISO 8601 datetime UTC, meters, meters, meters, meters, meters, meters, number, number, number, degrees north, degrees east, meters, meters, meters, meters, meters, meters, meters, number, number, number, UTF-8
# field_type: string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string
# attribution: http://www.unavco.org/community/policies_forms/attribution/attribution.html
# Request URI: http://ws-prod1.int.unavco.org:9030/gps/data/position/BNZA/v3?analysisCenter=cwu&referenceFrame=igs14&report=long&dataPostProcessing=Uncleaned&refCoordOptio=from_analysis_center
# Source File: BNZA.cwu.igs14.pos Date Modified: 2022-12-01 00:31:27
# XYZ Reference Coordinate(igs14): X:  5560783.86623 Y:  3120220.77864 Z:  -209865.88661
# Applied Offset: X: 0 Y: 0 Z: 0
Datetime, X, Y, Z, Std Dev X, Std Dev Y, Std Dev Z, Corr XY, Corr XZ, Corr YZ, N latitude, E longitude, Height, delta N, delta E, delta U, Std Dev N, Std Dev E, Std Dev U, Corr NE, Corr NU, Corr EU, Solution
2022-09-18T00:00:00Z,5560783.87430,3120220.75675,-209865.64028,0.00696,0.00439,0.00318,0.80500,-0.11900,-0.08400,-1.8977889787,29.2972917195,1709.01743,0.24607,-0.02304,-0.01183,0.00229,0.00316,0.00791,0.03839,0.01982,-0.04530,final
2022-09-19T00:00:00Z,5560783.88309,3120220.75946,-209865.63642,0.00691,0.00439,0.00326,0.80600,-0.11100,-0.07400,-1.8977889411,29.2972917021,1709.02629,0.25023,-0.02498,-0.00297,0.00229,0.00324,0.00787,0.04311,0.03215,-0.03918,final
2022-09-20T00:00:00Z,5560783.88266,3120220.75445,-209865.64482,0.00708,0.00444,0.00321,0.81100,-0.10700,-0.08200,-1.8977890178,29.2972916647,1709.02374,0.24174,-0.02914,-0.00552,0.00229,0.00319,0.00804,0.02475,0.01630,-0.03464,final
2022-09-21T00:00:00Z,5560783.88088,3120220.75472,-209865.64497,0.00715,0.00446,0.00323,0.81200,-0.09900,-0.07100,-1.8977890196,29.2972916746,1709.02232,0.24154,-0.02803,-0.00693,0.00230,0.00321,0.00811,0.03147,0.00846,-0.02524,final
2022-09-22T00:00:00Z,5560783.88336,3120220.76059,-209865.64219,0.00733,0.00462,0.00326,0.81800,-0.07600,-0.04500,-1.8977889930,29.2972917097,1709.02727,0.24449,-0.02412,-0.00199,0.00234,0.00325,0.00835,0.04186,0.03101,0.00152,final
2022-09-23T00:00:00Z,5560783.87804,3120220.74824,-209865.64548,0.00696,0.00440,0.00323,0.80600,-0.08800,-0.05400,-1.8977890259,29.2972916364,1709.01669,0.24085,-0.03229,-0.01256,0.00229,0.00322,0.00791,0.04251,0.02432,-0.01459,final
2022-09-24T00:00:00Z,5560783.88639,3120220.76008,-209865.64409,0.00730,0.00454,0.00319,0.80400,-0.08600,-0.05800,-1.8977890094,29.2972916924,1709.02972,0.24267,-0.02605,0.00046,0.00239,0.00318,0.00826,0.03235,-0.00348,-0.00884,final
2022-09-25T00:00:00Z,5560783.88170,3120220.75184,-209865.64195,0.00671,0.00426,0.00314,0.80300,-0.09000,-0.06100,-1.8977889925,29.2972916485,1709.02153,0.24454,-0.03094,-0.00773,0.00223,0.00313,0.00763,0.03327,0.02837,-0.01882,final
2022-09-26T00:00:00Z,5560783.88974,3120220.75804,-209865.64218,0.00720,0.00447,0.00316,0.80700,-0.10100,-0.07600,-1.8977889916,29.2972916617,1709.03158,0.24464,-0.02947,0.00232,0.00233,0.00314,0.00815,0.02538,-0.00358,-0.02565,final
2022-09-27T00:00:00Z,5560783.87375,3120220.75310,-209865.64570,0.00722,0.00449,0.00311,0.80500,-0.10400,-0.07400,-1.8977890283,29.2972916933,1709.01534,0.24058,-0.02595,-0.01391,0.00235,0.00309,0.00818,0.03296,-0.00270,-0.02561,final
